No;Kode;Mentah;"Sumber
TKPI 2019";Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;"Kalsium
Ca";"Fosfor
P";"Besi
Fe";"Natrium
Na";"Kalium
Ka";"Tembaga
Cu";"Seng
Zn";"Retino
Vit A";B-Kar;"Karoten
Total";"Thiamin
Vit. B1";"Ribovlavin
Vit. B2";Niasin;Vitamin C;BDD;Kelompok Makanan;Regulasi;;;;;;;;
;;;;(g);(kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;;;;;;;
205;BP070;Olahan;Tepung singkong/ Tapioka;9,1;363;1,1;0,5;88,2;0,9;1,1;84;125;1;1;7,1;-;0,1;-;-;-;0,04;-;0,4;-;100;Umbi;DABM-1964;;;;;;;;
206;BP071;Olahan;Tepung Tales Beneng;12,2;332;5,7;0,6;76,1;12,2;5,5;59;302;10,7;7;1.404,00;0,8;6,2;-;0,2;-;0,02;0,1;0,3;0,2;100;Umbi;BKP;;;;;;;;
207;BP072;Olahan;Tepung Ubi Ungu;9,4;354;2,8;0,6;84,4;12,9;2,8;89;125;3,9;42;940;0,8;0,6;-;-;-;0,4;0,02;-;0,2;100;Umbi;BKP;;;;;;;;
208;BP073;Olahan;Tiwul;11,2;353;2,4;1,1;83,4;6,5;1,6;55;95;4,7;5;670;0,2;0,8;-;-;-;0,02;0,02;0,1;3;100;Umbi;BKP;;;;;;;;
209;BP074;Olahan;Tiwul Instan;9,1;395;3,2;8,5;76,5;4,2;2,7;81;81;5,8;377;469;2,1;1,2;-;-;-;0,4;0,2;0,2;4;100;Umbi;BKP;;;;;;;;
210;BP075;Olahan;Ubi Cilembu;52,7;186;1,9;0,2;44,3;3,4;0,9;37;51;0,6;62;61,9;0,1;0,2;-;26.000;-;0,02;0,2;-;0,3;90;Umbi;BKP;;;;;;;;
211;BP076;Olahan;Uli batatas;66,5;150;1,1;4;27,4;-;1;-;23;0,1;6;112;0,1;0,2;-;-;-;0,53;-;1,3;-;100;Umbi;KZGMI-2001;;;;;;;;
212;BR001;Tunggal;Arrowroot, segar;73,5;102;1;0,2;24,1;1,7;1,2;28;35;1,7;36;626,6;0,2;0,8;-;15;-;0,06;0,1;2,3;2;100;Umbi;KZGPI-1990;;;;;;;;
213;BR002;Tunggal;Batatas gembili, segar;76,7;76;1,1;0,9;16;4,2;0,7;-;40;0,2;10;200;0,2;0,3;-;-;-;0,06;-;0,9;-;85;Umbi;KZGMI-2001;;;;;;;;
214;BR003;Tunggal;Batatas kelapa, ubi, segar;76,1;89;1,1;0,1;21;4;0,7;-;40;0,2;20;340;0,1;0,2;-;-;-;0,38;-;0,9;-;85;Umbi;KZGMI-2001;;;;;;;;
215;BR004;Tunggal;Belitung, talas, segar;63,1;145;1,2;0,4;34,2;1,5;1,1;26;54;1,4;6;536,1;0,2;0,9;-;-;-;0,1;0,1;2,3;2;85;Umbi;KZGPI-1990;;;;;;;;
216;BR005;Tunggal;Bengkuang, segar;85,1;59;1,4;0,2;12,8;1;0,5;15;18;0,6;2;244,3;0,1;0,3;-;-;-;0,04;0,1;0,2;20;84;Umbi;DABM-1964;;;;;;;;
217;BR006;Tunggal;Bentul (Komba), talas, segar;75,8;98;1,6;0,7;20,9;0,7;1,8;44;66;1,5;-;195,5;0,2;0,6;-;-;-;0,02;0,1;0,8;-;86;Umbi;KZGPI-1990;;;;;;;;
218;BR007;Tunggal;Gadeng/Gadung, kering;20,2;322;2,4;0,6;76,6;-;0,2;39;22;2,2;5;2;0,5;0,2;-;-;-;0,45;0,02;1;-;100;Umbi;KZGMI-2001;;;;;;;;
219;BR008;Tunggal;Gadung, ubi, segar;74,4;100;0,9;0,3;23,5;2,1;0,9;79;66;0,9;8;687,2;0,2;0,2;-;-;-;0,23;-;0,5;2;85;Umbi;KZGPI-1990;;;;;;;;
220;BR009;Tunggal;Ganyong, segar;79,9;77;0,6;0,2;18,4;0,8;0,9;15;67;1;-;-;-;-;-;-;-;0,1;-;-;9;65;Umbi;KZGPI-1990;;;;;;;;
221;BR010;Tunggal;Gembili, ubi, segar;66,4;131;1,1;0,2;31,3;1,1;1;14;56;0,6;10;200;0,2;0,3;-;-;-;0,08;-;0,9;4;85;Umbi;KZGPI-1990;;;;;;;;
222;BR011;Tunggal;Hofa/Ubi hutan, segar;67,9;127;1,2;0,5;29,5;3,4;0,9;30;8;0,7;3;4;0,1;0,2;-;-;-;0,3;0,05;0,6;-;85;Umbi;KZGMI-2001;;;;;;;;
223;BR012;Tunggal;Kaburan, ubi, segar;66,5;133;1;0,2;32,2;0,7;0,5;65;50;0,6;10;899,2;0,2;0,2;-;-;-;0,01;-;0,3;-;81;Umbi;KZGPI-1990;;;;;;;;
224;BR013;Tunggal;Kentang, segar;83,4;62;2,1;0,2;13,5;0,5;0,8;63;58;0,7;7;396;0,4;0,3;-;-;-;0,09;0,1;1;21;85;Umbi;KZGPI-1990;;;;;;;;
225;BR014;Tunggal;Kentang hitam, segar;64;142;0,9;0,4;33,7;5,4;1;34;75;0,2;22;890,3;0,9;0,6;-;-;-;0,02;0,1;2,2;38;75;Umbi;DABM-1964;;;;;;;;
226;BR015;Tunggal;Keribang, ubi, segar;67;137;1,3;1,1;29,8;0,6;0,8;45;56;0,8;10;885,8;0,2;0,3;-;-;-;-;-;0,7;-;83;Umbi;KZGPI-1990;;;;;;;;
227;BR016;Tunggal;Ketela pohon/ singkong, segar;61,4;154;1;0,3;36,8;0,9;0,5;77;24;1,1;2;394;0,3;0,4;-;-;-;0,06;0,1;0,5;31;85;Umbi;KZGPI-1990;;;;;;;;
228;BR017;Tunggal;Lepok/Ubi rumput;55,3;181;2,8;1,2;39,8;10,7;0,9;7;50;3,1;116;306;1,6;0,9;-;-;-;0,28;0,05;1,5;-;85;Umbi;KZGMI-2001;;;;;;;;
229;BR018;Tunggal;Sagu aren, kering;11,9;355;0,6;1,1;85,6;0,3;0,8;91;167;2,2;2;200;-;0,3;-;-;-;0,04;0,1;0,5;-;100;Umbi;KZGPI-1990;;;;;;;;
230;BR019;Tunggal;Sagu aren, segar;42,5;231;0,6;0,2;56,6;3,2;0,1;20;20;0,1;7;-;0,1;0,1;-;-;-;0,2;-;-;-;100;Umbi;KZGMI-2001;;;;;;;;
231;BR020;Tunggal;Sagu kasbi segar;42,5;230;0,6;0,2;56,5;3;0,2;20;1;0,3;100;410;0,1;0,2;-;-;-;0,1;-;-;-;100;Umbi;KZGMI-2001;;;;;;;;
232;BR021;Tunggal;Sagu lempeng;13,5;347;0,9;0,3;85,2;4,7;0,1;30;30;0,2;11;-;0,1;0,1;-;-;-;0,3;-;-;-;100;Umbi;KZGMI-2001;;;;;;;;
233;BR022;Tunggal;Sagu singkong, kering;12;362;0,5;0,3;86,9;-;0,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Umbi;DABM-1964;;;;;;;;
234;BR023;Tunggal;Sente, talas, segar;14;353;0,7;0,2;84,7;6,6;0,4;11;13;1,5;30;694,6;0,6;2,2;-;41;-;0,05;0,2;2,8;5;86;Umbi;DABM-1964;;;;;;;;
235;BR024;Tunggal;Suweg, talas, segar;80,1;74;1,4;0,1;17,2;1,4;1,2;42;46;1,3;7;400;0,1;0,1;-;24;254;0,04;-;0,4;2;86;Umbi;KZGPI-1990;;;;;;;;
236;BR025;Tunggal;Talas bogor, segar;72,4;108;1,4;0,4;25;0,9;0,8;47;67;0,7;10;448;0,2;0,7;-;-;-;0,06;0,07;1;4;85;Umbi;KZGPI-1990;;;;;;;;
237;BR026;Tunggal;Talas pontianak, segar;60;163;2,3;0,5;36,4;0,7;0,9;45;80;1,7;14;323,1;0,3;1;-;-;-;0,02;0,1;1,3;-;83;Umbi;KZGPI-1990;;;;;;;;
238;BR027;Tunggal;Talas viqueque, segar;70,6;115;1,8;0,5;25,9;8,6;1,2;50;220;0,9;1;70;0,3;1;-;-;-;0,08;0,1;0,9;-;85;Umbi;KZGMI-2001;;;;;;;;
239;BR028;Tunggal;Ubi jalar, kuning, segar;72,6;119;0,5;0,4;25,1;4,2;1;30;40;0,4;3;1;0,1;0,2;-;794;4.948;0,06;0,07;0,7;-;85;Umbi;KZGMI-2001;;;;;;;;
240;BR029;Tunggal;Ubi jalar manis, segar;78,4;83;1,5;0,2;18,8;0,6;1,1;27;162;2,1;52;320,7;0,1;0,3;-;-;-;0,02;-;0,4;-;85;Umbi;KZGPI-1990;;;;;;;;
241;BR030;Tunggal;Ubi jalar merah, segar;61,9;151;1,6;0,3;35,4;0,7;0,6;29;74;0,7;92;565,6;0,3;0,5;-;-;1.208;0,13;0,08;0,7;11;86;Umbi;KZGPI-1990;;;;;;;;
242;BR031;Tunggal;Ubi jalar putih, segar;77,8;88;0,4;0,4;20,6;4;0,8;30;10;0,5;2;4;0,1;0,2;-;13;264;0,25;0,06;0,5;36;86;Umbi;KZGMI-2001;;;;;;;;
243;BR032;Tunggal;Ubi jalar tinta/ kemayung;72,5;108;0,5;0,4;25,6;4,2;1;30;40;0,5;1;1;0,1;0,2;-;13;-;0,09;0,06;0,6;24;85;Umbi;KZGMI-2001;;;;;;;;
244;BR033;Tunggal;Umbi Uwi, segar;69,7;120;2,8;0,5;82,3;2,6;0,9;9;42;1,3;412;412;0,3;0,6;-;-;-;0,02;0,5;0,2;4;86;Umbi;BKP;;;;;;;;
245;CP001;Olahan;Kacang belimbing (kecipir), rebus;55,6;204;16,9;8,8;17,5;4,8;1,2;230;180;3,3;43;1.098,00;3,24;2,3;-;-;-;0,2;0,48;0,7;-;100;Kacang;KZGPI-1990;;;;;;;;
246;CP002;Olahan;Kacang bogor, goreng;3;479;12,7;23,2;58,9;1,2;2,2;135;184;2,9;-;-;-;-;-;-;-;0,25;0,45;4,1;-;35;Kacang;KZGPI-1990;;;;;;;;
247;CP003;Olahan;Kacang bogor, rebus;61,2;161;7,7;2,8;27,1;2;1,2;56;134;1,4;-;-;-;-;-;-;-;0,1;-;-;-;35;Kacang;KZGPI-1990;;;;;;;;
248;CP004;Olahan;Kacang gude, rebus;61,5;147;9;0,5;27,5;3,4;1,5;50;175;2;14;1.126,00;0,8;2,7;-;12;-;0,1;0,07;13,2;-;100;Kacang;KZGPI-1990;;;;;;;;
249;CP005;Olahan;Kacang hijau, rebus;71,3;109;8,7;0,5;18,3;1,5;1,2;95;149;1,5;447;657,8;1,4;2,8;-;18;120;0,12;0,04;0,4;3;100;Kacang;KZGPI-1990;;;;;;;;
250;CP006;Olahan;Kacang kedelai, goreng;9,6;521;32,2;37,7;22,9;7,6;3,7;296;800;6,5;3.492;11.890,00;26,3;60;-;-;20;0,4;1,9;19;-;100;Kacang;KZGPI-1990;;;;;;;;
251;CP007;Olahan;Kacang kedelai, rebus;56,8;189;20,2;8,2;12,7;1,6;2,1;91;270;3,9;181;615;1,3;3,7;-;4;15;0,2;0,04;0,5;-;100;Kacang;KZGPI-1990;;;;;;;;
252;CP008;Olahan;Kacang merah kering, rebus;59,6;158;10,3;0,9;28,2;2,6;1;160;149;3,7;6;311;0,27;1,5;-;-;-;0,2;0,09;0,8;-;100;Kacang;KZGPI-l990;;;;;;;;
253;CP009;Olahan;Kacang merah segar, rebus;63,1;144;10;1;24,7;3,5;1,2;144;150;2,8;6;311;0,27;1,5;-;-;-;0,1;0,08;0,7;-;100;Kacang;KZGPI-l990;;;;;;;;
254;CP010;Olahan;Kacang mete/biji jambu monyet, goreng;1;629;20,4;56,3;19,8;1,1;2,5;502;493;8;13;641,7;4,7;5,4;-;5;-;0,37;0,22;1,8;-;100;Kacang;KZGPI-1990;;;;;;;;
255;CP011;Olahan;Kacang tanah rebus dg kulit;40,2;360;13,5;31,2;12,8;-;2,3;42;177;1,4;32;483;1,6;2;-;-;-;0,44;0,13;9;5;43;Kacang;DABM-1964;;;;;;;;
256;CP012;Olahan;Kacang tanah, goreng;2,5;564;25,5;44,4;25,5;2,8;2,8;106;390;4,1;-;-;-;-;-;-;-;0,4;-;-;-;100;Kacang;KZGPI-l990;;;;;;;;
257;CP013;Olahan;Kacang tanah, rebus;62,1;220;10,6;18;8;1;1,3;89;273;1,9;36;536,2;1,78;2,2;-;-;-;0,1;-;-;-;100;Kacang;KZGPI-l990;;;;;;;;
258;CP014;Olahan;Kacang tolo / tunggak, rebus;64,4;138;10,7;1,1;22,6;0,9;1,2;165;172;4;13;6,7;0,8;6,1;-;-;-;0,01;0,17;3,2;-;100;Kacang;KZGPI-l990;;;;;;;;
259;CP015;Olahan;Ampas kacang hijau;70,6;96;3,7;0,6;19,1;2,7;0,6;133;150;1,3;-;-;-;-;-;-;-;0,05;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
260;CP016;Olahan;Ampas tahu, mentah;84,1;67;5;2,1;8,1;4,1;0,6;460;88;1;8;184,5;0,17;0,5;-;-;-;0,06;0,02;0,1;-;100;Kacang;KZGPI-1990;;;;;;;;
261;CP017;Olahan;Ampas tahu kukus;82,5;75;4,1;2,1;10,7;5,1;0,6;203;60;1,3;-;-;-;-;-;-;-;0,07;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
262;CP018;Olahan;Ampas tahu, kering;9;414;26,6;18,3;41,3;-;5,8;19;29;4;45;1.055,70;0,99;2,8;-;-;-;0,2;0,1;0,5;-;100;Kacang;DABM-1964;;;;;;;;
263;CP019;Olahan;Pepes oncom ampas tahu;80,9;76;5,2;1,8;10,6;2,2;1,5;215;66;12,5;-;-;-;-;-;-;268;0,11;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
264;CP020;Olahan;Bungkil biji karet;12;333;29,3;3,3;50;-;29,4;102;660;12;-;-;-;-;-;-;-;0,1;-;-;-;100;Kacang;DABM-1964;;;;;;;;
265;CP021;Olahan;Bungkil kacang tanah;14;336;37,4;13;30,5;-;33,1;730;470;30,7;-;-;-;-;-;-;-;0,04;-;-;-;100;Kacang;DABM-1964;;;;;;;;
266;CP022;Olahan;Bungkil kelapa;16;368;23;15;40;-;38;137;433;41,5;-;-;-;-;-;-;-;-;0,46;8,9;-;100;Kacang;DABM-1964;;;;;;;;
267;CP023;Olahan;Dodol banjarmasin;17,3;368;2,6;8,6;70;0,5;1,5;51;180;3,3;48;96;0,4;2,6;-;-;-;0,04;0,07;2,3;-;100;Kacang;KZGMI-2001;;;;;;;;
268;CP024;Olahan;Emping (kerupuk melinjo);13;345;12;1,5;71,5;-;28;100;400;5;-;-;-;-;-;-;-;0,2;-;-;-;100;Kacang;DABM-1964;;;;;;;;
269;CP025;Olahan;Emping komak;14,2;355;17,8;4,6;60,7;-;2,7;87;304;4,3;24;1.233,00;1;2,3;-;-;-;-;-;0,6;-;100;Kacang;KZGMI-2001;;;;;;;;
270;CP026;Olahan;Enting-enting gepuk hello kity;2,4;538;13,6;30,3;52,6;0,2;1;81;248;1,6;-;-;-;-;-;-;202;1;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
271;CP027;Olahan;Enting-enting gepuk kacang tanah;4,2;524;13,3;29,2;52;0,2;1,4;76;248;1,4;-;-;-;-;-;-;272;0,62;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
272;CP028;Olahan;Enting-enting wijen;3,7;565;18,2;38,4;36,8;1,9;3;251;502;10,9;-;-;-;-;-;-;240;0,92;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
