No;Kode;Mentah;Sumber;Air (g);Energi (kal);Protein (g);Lemak (g);Karbohidrat (g);Serat (g);Abu (g);Kalsium (mg);Fosfor (mg);Besi (mg);Natrium (mg);Kalium (mg);Tembaga (mg);Seng (mg);Retinol (mcg);B-Karoten (mcg);Karoten Total (mcg);Thiamin (mg);Riboflavin (mg);Niasin (mg);Vitamin C (mg);BDD (%);Kelompok Makanan;Regulasi
1021;GR066;Tunggal;Ikan sarden, segar;72.7;109;19.9;1.8;3.4;-;2.2;95;597;1.3;266;227;0.3;2.0;195;-;-;0.26;0.03;4.4;-;-;Ikan dsb;KZGMI-2001
1022;GR067;Tunggal;Ikan selar, segar;75.4;100;18.8;2.2;-;-;3.6;40;179;0.5;43;392.6;0.1;0.3;45;-;-;0.37;0.20;3.4;-;48;Ikan dsb;DABM-1964
1023;GR068;Tunggal;Ikan sepat, segar;78.8;84;15.2;0.6;4.7;-;0.8;68;171;2.1;211;198;0.7;0.6;-;-;-;0.16;0.03;1.9;-;75;Ikan dsb;KZGMI-2001
1024;GR069;Tunggal;Ikan sidat, segar;71.3;81;11.4;1.9;3.8;-;11.6;118;174;3.0;46;245.9;-;1.5;15;-;-;-;0.40;3.2;-;100;Ikan dsb;KZGPI-1990
1025;GR070;Tunggal;Ikan sunu, segar;75.5;111;13.3;3.4;6.7;-;1.1;86;174;1.2;91;197;-;0.6;309;-;-;1.03;0.10;0.2;-;70;Ikan dsb;KZGMI-2001
1026;GR071;Tunggal;Ikan tahuman, segar;77.4;88;15.9;0.9;4.1;-;1.8;221;223;-;24;364;0.4;0.7;-;-;-;0.20;0.25;1.6;-;-;Ikan dsb;KZGMI-2001
1027;GR072;Tunggal;Ikan Sale, segar;8.5;534;40.2;39.3;4.9;2.0;7.1;199;1244;2.7;673;673;0.3;2.6;-;410;-;0.02;0.50;-;0.2;100;Ikan dsb;BKP
1028;GR073;Tunggal;Ikan tarmon, segar;76.7;96;19.5;1.1;2.0;-;0.8;9;129;0.3;43;154;0.1;0.5;-;-;-;0.15;0.02;1.7;-;-;Ikan dsb;KZGMI-2001
1029;GR074;Tunggal;Ikan telan, segar;75.3;95;15.8;0.7;6.5;-;1.7;503;354;0.2;58;294;1.6;1.2;-;-;-;0.18;0.02;1.9;-;-;Ikan dsb;KZGMI-2001
1030;GR075;Tunggal;Ikan tembang, segar;65.0;204;16.0;15.0;-;-;4.0;20;200;2.0;341;291;0.4;2.6;30;-;-;0.05;-;5.6;-;80;Ikan dsb;DABM-1964
1031;GR076;Tunggal;Ikan tempahas, segar;78.9;101;15.1;4.1;1.0;-;0.9;32;163;-;50;320;0.7;0.6;-;-;-;0.02;0.05;1.5;-;-;Ikan dsb;KZGMI-2001
1032;GR077;Tunggal;Ikan terbang, segar;76.1;98;19.6;1.7;1.0;-;1.6;90;190;0.6;90;320;0.1;0.5;39;-;-;-;0.10;0.1;-;100;Ikan dsb;KZGMI-2001
1033;GR078;Tunggal;Ikan teri, segar;80.0;74;10.3;1.4;4.1;-;4.2;972;253;3.9;554;126.1;305.2;0.2;13;-;28;0.24;0.10;1.9;-;-;Ikan dsb;KZGPI-1990
