  Receipe Name,,:pisang,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,pisang uli,pc,2,,  -   
,,,,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,:jeruk,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,jeruk,gram,80,,  -   
,,,,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
  Receipe Name,,:semangka,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,semangka,gram,80,,  -   
,,,,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,:susu,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,susu,pc,1,,  -   
,,,,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,:yakult,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,yakult,pc,1,,  -   
,,,,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,:kelengkeng,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,kelengkeng,gram,50,,  -   
,,,,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,:anggur,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,anggur,gram,50,,  -   
,,,,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
