Recipe Name,Course,Ingredient,Unit,Qty
tahu goreng tepung,1 portion,tahu,gram,50
tahu goreng tepung,1 portion,bawang putih,gram,5
tahu goreng tepung,1 portion,ketumbar bubuk,gram,1
tahu goreng tepung,1 portion,penyedap,gram,2
tahu goreng tepung,1 portion,garam,gram,1
tahu goreng tepung,1 portion,daun bawang,gram,3
tahu goreng tepung,1 portion,tepung S biru,gram,10
tahu goreng tepung,1 portion,minyak goreng,ml,20

tempe goreng,1 portion,tempe,gram,50
tempe goreng,1 portion,bawang putih,gram,5
tempe goreng,1 portion,ketumbar bubuk,gram,2
tempe goreng,1 portion,penyedap,gram,2
tempe goreng,1 portion,garam,gram,1
tempe goreng,1 portion,minyak goreng,ml,20

tahu bola/perkedel,1 portion,tahu,gram,50
tahu bola/perkedel,1 portion,bawang putih,gram,5
tahu bola/perkedel,1 portion,ketumbar bubuk,gram,1
tahu bola/perkedel,1 portion,penyedap,gram,2
tahu bola/perkedel,1 portion,garam,gram,1
tahu bola/perkedel,1 portion,daun bawang,gram,3
tahu bola/perkedel,1 portion,telur,gram,30
tahu bola/perkedel,1 portion,tepung S biru,gram,10
tahu bola/perkedel,1 portion,minyak goreng,ml,20

tempe orek,1 portion,tempe,gram,50
tempe orek,1 portion,bawang putih,gram,3
tempe orek,1 portion,bawang merah,gram,5
tempe orek,1 portion,penyedap,gram,2
tempe orek,1 portion,kecap,gram,5
tempe orek,1 portion,garam,gram,2
tempe orek,1 portion,daun salam,gram,1
tempe orek,1 portion,minyak goreng,ml,20

tahu kuning,1 portion,tahu,gram,50
tahu kuning,1 portion,bawang putih,gram,2
tahu kuning,1 portion,bawang merah,gram,3
tahu kuning,1 portion,ketumbar bubuk,gram,1
tahu kuning,1 portion,penyedap,gram,2
tahu kuning,1 portion,garam,gram,1
tahu kuning,1 portion,kunyit bubuk,gram,2
tahu kuning,1 portion,minyak goreng,ml,20

tempe mendoan,1 portion,tempe,gram,50
tempe mendoan,1 portion,bawang putih,gram,5
tempe mendoan,1 portion,ketumbar bubuk,gram,1
tempe mendoan,1 portion,penyedap,gram,2
tempe mendoan,1 portion,garam,gram,1
tempe mendoan,1 portion,daun bawang,gram,3
tempe mendoan,1 portion,tepung S biru,gram,10
tempe mendoan,1 portion,minyak goreng,ml,20

tahu gulai,1 portion,tahu,gram,50
tahu gulai,1 portion,bawang putih,gram,2
tahu gulai,1 portion,bawang merah,gram,3
tahu gulai,1 portion,kunyit bubuk,gram,1
tahu gulai,1 portion,penyedap,gram,2
tahu gulai,1 portion,garam,gram,1
tahu gulai,1 portion,daun salam,gram,2
tahu gulai,1 portion,lengkuas,gram,2
tahu gulai,1 portion,minyak goreng,ml,20

tahu kecap,1 portion,tahu,gram,50
tahu kecap,1 portion,bawang putih,gram,2
tahu kecap,1 portion,bawang merah,gram,3
tahu kecap,1 portion,kemiri,gram,1
tahu kecap,1 portion,penyedap,gram,2
tahu kecap,1 portion,garam,gram,1
tahu kecap,1 portion,daun salam,gram,2
tahu kecap,1 portion,kecap,gram,10
tahu kecap,1 portion,minyak goreng,ml,20

krupuk udang,1 portion,krupuk finna,pack,1

tempe kari,1 portion,tempe,gram,50
tempe kari,1 portion,bawang putih,gram,2
tempe kari,1 portion,bawang merah,gram,3
tempe kari,1 portion,kunyit bubuk,gram,1
tempe kari,1 portion,penyedap,gram,2
tempe kari,1 portion,garam,gram,1
tempe kari,1 portion,daun salam,gram,0
tempe kari,1 portion,lengkuas,gram,2
tempe kari,1 portion,minyak goreng,ml,10

tempe bawang putih,1 portion,tempe,gram,50
tempe bawang putih,1 portion,bawang putih,gram,2
tempe bawang putih,1 portion,penyedap,gram,2
tempe bawang putih,1 portion,garam,gram,1
tempe bawang putih,1 portion,daun salam,gram,1
tempe bawang putih,1 portion,lengkuas,gram,2
tempe bawang putih,1 portion,minyak goreng,ml,10

tempe bacem,1 portion,tempe,gram,50
tempe bacem,1 portion,bawang putih,gram,2
tempe bacem,1 portion,bawang merah,gram,5
tempe bacem,1 portion,penyedap,gram,2
tempe bacem,1 portion,gula merah,gram,20
tempe bacem,1 portion,ketumbar,gram,2
tempe bacem,1 portion,garam,gram,1
tempe bacem,1 portion,daun salam,gram,1
tempe bacem,1 portion,lengkuas,gram,5
tempe bacem,1 portion,minyak goreng,ml,20
