Recipe Name,Course,Ingredient,Unit,Qty
Ayam saus mentega,1 portion,Ayam,gram,80
Ayam saus mentega,1 portion,kecap abc,gram,10
Ayam saus mentega,1 portion,bawang putih,gram,5
Ayam saus mentega,1 portion,garam,gram,1
Ayam saus mentega,1 portion,minyak goreng,ml,20
Ayam saus mentega,1 portion,blue band,gram,20
Ayam saus mentega,1 portion,tomat saus,gram,20
Ayam saus mentega,1 portion,gula,gram,2
Ayam saus mentega,1 portion,kecap inggris,ml,5
Ayam saus mentega,1 portion,tapioka,gram,3
Ayam saus mentega,1 portion,saus tiram,gram,5

Telor orak arik,1 portion,telur,gram,70
Telor orak arik,1 portion,bawang putih,gram,10
Telor orak arik,1 portion,garam,gram,1
Telor orak arik,1 portion,minyak goreng,ml,10
Telor orak arik,1 portion,green peas,gram,20
Telor orak arik,1 portion,tomat,gram,10

Ayam goreng tepung,1 portion,ayam,gram,100
Ayam goreng tepung,1 portion,bawang putih,gram,5
Ayam goreng tepung,1 portion,penyedap,gram,2
Ayam goreng tepung,1 portion,garam,gram,1
Ayam goreng tepung,1 portion,tepung tapioka,gram,5
Ayam goreng tepung,1 portion,tepung S biru,gram,20
Ayam goreng tepung,1 portion,minyak goreng,ml,20

Telor masak kecap,1 portion,telor,gram,70
Telor masak kecap,1 portion,bawang putih,gram,3
Telor masak kecap,1 portion,bawang merah,gram,5
Telor masak kecap,1 portion,garam,gram,2
Telor masak kecap,1 portion,kecap manis,gram,3
Telor masak kecap,1 portion,penyedap,gram,2
Telor masak kecap,1 portion,minyak goreng,ml,10

daging burger,1 portion,roti burger,pc,1
daging burger,1 portion,daging patties,gram,50
daging burger,1 portion,selada,gram,10
daging burger,1 portion,timun,gram,20
daging burger,1 portion,tomat,gram,20
daging burger,1 portion,saus tomat sachet,pc,1
daging burger,1 portion,margarine,gram,10
daging burger,1 portion,mayonaise,gram,5
daging burger,1 portion,minyak goreng,ml,20

ayam semur,1 portion,ayam,gram,100
ayam semur,1 portion,bawang putih,gram,3
ayam semur,1 portion,bawang merah,gram,5
ayam semur,1 portion,garam,gram,2
ayam semur,1 portion,kecap manis,gram,3
ayam semur,1 portion,penyedap,gram,2
ayam semur,1 portion,kapulaga,gram,1
ayam semur,1 portion,kayu manis,gram,2
ayam semur,1 portion,minyak goreng,ml,10

bandeng goreng,1 portion,ikan bandeng,gram,80
bandeng goreng,1 portion,telor,gram,40
bandeng goreng,1 portion,garam,gram,5
bandeng goreng,1 portion,kecap manis,gram,2
bandeng goreng,1 portion,penyedap,gram,3
bandeng goreng,1 portion,minyak goreng,ml,20

Ayam goreng lengkuas,1 portion,ayam,gram,100
Ayam goreng lengkuas,1 portion,bawang putih,gram,5
Ayam goreng lengkuas,1 portion,penyedap,gram,2
Ayam goreng lengkuas,1 portion,garam,gram,2
Ayam goreng lengkuas,1 portion,bawang merah,gram,3
Ayam goreng lengkuas,1 portion,daun salam,gram,1
Ayam goreng lengkuas,1 portion,lengkuas,gram,10
Ayam goreng lengkuas,1 portion,minyak goreng,ml,20

Bakso bumbu kacang,1 portion,bakso,gram,90
Bakso bumbu kacang,1 portion,bumbu kacang/ gado2,gram,5
Bakso bumbu kacang,1 portion,kecap manis,gram,3

soto Banjar,1 portion,ayam filet,gram,50
soto Banjar,1 portion,bawang putih,gram,5
soto Banjar,1 portion,penyedap,gram,2
soto Banjar,1 portion,garam,gram,2
soto Banjar,1 portion,bawang merah,gram,3
soto Banjar,1 portion,daun salam,gram,1
soto Banjar,1 portion,kapulaga,gram,10
soto Banjar,1 portion,kayu manis,gram,2
soto Banjar,1 portion,bunga lawang,gram,1
soto Banjar,1 portion,minyak goreng,ml,20

ikan dori krispi,1 portion,ikan dori,gram,100
