Recipe Name,Course,Ingredient,Unit,Qty
tumis kacang panjang,1 portion,kacang panjang,gram,50
tumis kacang panjang,1 portion,garam,gram,1
tumis kacang panjang,1 portion,minyak goreng,ml,10
tumis kacang panjang,1 portion,gula,gram,2
tumis kacang panjang,1 portion,penyedap,ml,3
tumis kacang panjang,1 portion,bawang putih,gram,3
tumis kacang panjang,1 portion,bawang merah,gram,5

tumis jagung & wortel,1 portion,wortel,gram,40
tumis jagung & wortel,1 portion,jagung,gram,30
tumis jagung & wortel,1 portion,minyak goreng,ml,10
tumis jagung & wortel,1 portion,penyedap,ml,3
tumis jagung & wortel,1 portion,bawang putih,gram,3
tumis jagung & wortel,1 portion,bawang merah,gram,5
tumis jagung & wortel,1 portion,garam,gram,1

bayam labu sayur bening,1 portion,bayam,gram,40
bayam labu sayur bening,1 portion,jagung,gram,40
bayam labu sayur bening,1 portion,air,ml,10
bayam labu sayur bening,1 portion,penyedap,ml,3
bayam labu sayur bening,1 portion,bawang putih,gram,3
bayam labu sayur bening,1 portion,bawang merah,gram,5
bayam labu sayur bening,1 portion,daun salam,gram,1
bayam labu sayur bening,1 portion,garam,gram,2

tumis wortel & sawi putih,1 portion,sawi putih,gram,40
tumis wortel & sawi putih,1 portion,wortel,gram,30
tumis wortel & sawi putih,1 portion,penyedap,gram,2
tumis wortel & sawi putih,1 portion,bawang putih,gram,2
tumis wortel & sawi putih,1 portion,bawang merah,gram,3
tumis wortel & sawi putih,1 portion,garam,gram,2
tumis wortel & sawi putih,1 portion,minyak goreng,gram,5

sayur orak arik,1 portion,kol putih,gram,30
sayur orak arik,1 portion,wortel,gram,40
sayur orak arik,1 portion,buncis,gram,40
sayur orak arik,1 portion,penyedap,gram,2
sayur orak arik,1 portion,bawang putih,gram,3
sayur orak arik,1 portion,telur,gram,40
sayur orak arik,1 portion,garam,gram,1
sayur orak arik,1 portion,minyak goreng,gram,5

sayur mix tumis,1 portion,sayur mix,gram,50
sayur mix tumis,1 portion,penyedap,gram,30
sayur mix tumis,1 portion,bawang putih,gram,2
sayur mix tumis,1 portion,garam,gram,2
sayur mix tumis,1 portion,minyak goreng,gram,3

tumis caisim wortel,1 portion,caisim,gram,30
tumis caisim wortel,1 portion,wortel,gram,40
tumis caisim wortel,1 portion,penyedap,gram,2
tumis caisim wortel,1 portion,bawang putih,gram,3
tumis caisim wortel,1 portion,garam,gram,1
tumis caisim wortel,1 portion,minyak goreng,gram,10

wortel, labu tumis,1 portion,labu,gram,30
wortel, labu tumis,1 portion,wortel,gram,30
wortel, labu tumis,1 portion,penyedap,gram,2
wortel, labu tumis,1 portion,bawang putih,gram,2
wortel, labu tumis,1 portion,bawang merah,gram,3
wortel, labu tumis,1 portion,garam,gram,2
wortel, labu tumis,1 portion,minyak goreng,gram,5

bayam sayur bening,1 portion,bayam,gram,30
bayam sayur bening,1 portion,jagung,gram,30
bayam sayur bening,1 portion,garam,gram,2
bayam sayur bening,1 portion,bawang merah,gram,5
bayam sayur bening,1 portion,daun salam,gram,1
bayam sayur bening,1 portion,penyedap,gram,5
bayam sayur bening,1 portion,garam,gram,2

labu tumis,1 portion,labu,gram,30
labu tumis,1 portion,penyedap,gram,2
labu tumis,1 portion,bawang putih,gram,2
labu tumis,1 portion,bawang merah,gram,3
labu tumis,1 portion,garam,gram,2
labu tumis,1 portion,minyak goreng,gram,5

caisim, wortel tumis,1 portion,caisim,gram,30
caisim, wortel tumis,1 portion,wortel,gram,30
caisim, wortel tumis,1 portion,bawang putih,gram,2
caisim, wortel tumis,1 portion,garam,gram,3
caisim, wortel tumis,1 portion,minyak goreng,gram,2

oyong,soun sayur bening,1 portion,oyong,gram,40
oyong,soun sayur bening,1 portion,air,ml,10
oyong,soun sayur bening,1 portion,penyedap,ml,3
oyong,soun sayur bening,1 portion,bawang putih,gram,3
oyong,soun sayur bening,1 portion,bawang merah,gram,5
oyong,soun sayur bening,1 portion,daun salam,gram,1
oyong,soun sayur bening,1 portion,soun,gram,5
oyong,soun sayur bening,1 portion,garam,gram,2

sayur 3 warna tumis,1 portion,sayur mix,gram,50
sayur 3 warna tumis,1 portion,penyedap,gram,30
sayur 3 warna tumis,1 portion,bawang putih,gram,2
sayur 3 warna tumis,1 portion,garam,gram,3
sayur 3 warna tumis,1 portion,merica,gram,1
sayur 3 warna tumis,1 portion,minyak goreng,gram,3

timun, wortel stick,1 portion,timun,gram,30
timun, wortel stick,1 portion,wortel,gram,30
timun, wortel stick,1 portion,gula,gram,10
timun, wortel stick,1 portion,garam,gram,2
timun, wortel stick,1 portion,cuka,ml,1

sayuran tofu,1 portion,sawi putih,gram,20
sayuran tofu,1 portion,wortel,gram,20
sayuran tofu,1 portion,kubis,gram,20
sayuran tofu,1 portion,caisim,gram,20
sayuran tofu,1 portion,penyedap,gram,2
sayuran tofu,1 portion,bawang putih,gram,5
sayuran tofu,1 portion,garam,gram,2
sayuran tofu,1 portion,merica,gram,2
sayuran tofu,1 portion,garam,gram,2
sayuran tofu,1 portion,tofu,pc,0.25
sayuran tofu,1 portion,minyak goreng,gram,5
