Code,nama,nama.1,energi_kkal,protein_g,lemak_g,karbohidrat_g,serat_g,abu_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,b_kar_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitamin_c_mg,isValidated,validatedBy
kJ,G,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
B101000,Wholemeal bread,Roti gandum,187.858508496,44.085,0.0,6.485,0.0,0.959,31.0,0.102,0.0,0.635,0.0,0.0,1.329,8.677,0.0,0.0,0.0,1.0,0.0,True,www.nutrisurvey.de
B106000,Roti gandum dengan biji minyak,Roti gandum dengan biji minyak,203.871892808,42.514,0.0,7.144,0.0,2.94,30.0,0.176,0.0,2.142,0.0,0.0,1.443,8.579,0.0,0.0,0.0,1.0,0.0,True,www.nutrisurvey.de
B213000,Roti gandum berwarna coklat untuk dipanggang sebagian dengan kasar,Roti gandum berwarna coklat untuk dipanggang sebagian dengan kasar,254.063097368,34.744,0.0,9.129,0.0,3.962,21.0,0.318,0.0,0.346,0.0,0.0,2.852,5.034,0.0,0.0,0.0,20.0,0.0,True,www.nutrisurvey.de
B251000,Roti coklat dari campuran gandum,Roti coklat dari campuran gandum,219.168259912,40.991,0.0,7.113,0.0,0.843,24.0,0.158,0.0,0.385,0.0,0.0,0.992,4.218,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
B291000,Roti multi-butir coklat,Roti multi-butir coklat,218.69024844,40.744,0.0,5.934,0.0,0.979,28.0,0.146,0.0,0.475,0.0,0.0,0.813,4.787,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
B304000,Roti putih untuk dipanggang,Roti putih untuk dipanggang,253.34608016,37.021,0.0,7.364,0.0,3.337,9.0,0.093,0.0,0.143,0.0,0.0,0.724,2.947,0.0,0.0,0.0,20.0,0.0,True,www.nutrisurvey.de
B311000,Roti gandum putih,Roti gandum putih,235.42064996,39.062,0.0,7.052,0.0,1.283,9.0,0.076,0.0,0.145,0.0,0.0,0.764,2.998,0.0,0.0,0.0,4.0,0.0,True,www.nutrisurvey.de
B401011,Gulungan gandum utuh,Gulungan gandum utuh,221.797323008,38.066,0.0,7.963,0.0,1.534,21.0,0.284,0.0,1.051,0.0,0.0,3.446,6.642,0.0,0.0,0.0,1.0,0.0,True,www.nutrisurvey.de
B406011,Gulungan gandum utuh dengan aditif biji minyak,Gulungan gandum utuh dengan aditif biji minyak,237.571701584,36.626,0.0,8.614,0.0,3.665,20.0,0.357,0.0,2.674,0.0,0.0,3.475,6.627,0.0,0.0,0.0,1.0,0.0,True,www.nutrisurvey.de
