  Receipe Name,,: Ayam saus mentega,,,
  Course,,: 1 portion,,,
  Quantity Produced,,: ,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,Ayam ,gram,80,,  -   
2,kecap abc,gram,10,,  -   
3,bawang putih,gram,5,,
4,garam,gram,1,,  -   
5,minyak goreng,ml,20,,  -   
6,blue band,gram,20,,  -   
7,tomat saus,gram,20,,  -   
8,gula,gram,2,,  -   
9,kecap inggris,ml,5,,  -   
10,tapioka,gram,3,,  -   
11,saus tiram,gram,5,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,:Telor orak arik,,,
  Course,,: 1 portion,,,
  Quantity Produced,,: ,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,telur,gram,70,,  -   
2,bawang putih,gram,10,,
3,garam,gram,1,,  -   
4,minyak goreng,ml,10,,  -   
5,green peas,gram,20,,
6,tomat ,gram,10,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
  Receipe Name,,: Ayam goreng tepung,,,
  Course,,: 1 portion,,,
  Quantity Produced,,: ,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,ayam,gram,100,,  -   
2,bawang putih,gram,5,,
3,penyedap,gram,2,,
4,garam,gram,1,,  -   
5,tepung tapioka,gram,5,,
6,tepung S biru,gram,20,,
7,minyak goreng,ml,20,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,: Telor masak kecap,,,
  Course,,: 1 portion,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,telor,gram,70,,  -   
2,bawang putih,gram,3,,
3,bawang merah ,gram,5,,
4,garam,gram,2,,  -   
5,kecap manis,gram,3,,
6,penyedap,gram,2,,
7,minyak goreng,ml,10,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
,,,,,
,,,,,
  Receipe Name,,:daging burger,,,
  Course,,: 1 portion,,,
  Quantity Produced,,: ,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,roti burger,pc,1,,  -   
2,daging patties,gram,50,,  -   
3,selada,gram,10,,
4,timun,gram,20,,
5,tomat,gram,20,,  -   
6,saus tomat sachet,pc,1,,
7,margarine,gram,10,,
8,mayonaise,gram,5,,  -   
9,minyak goreng,ml,20,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,: ayam semur,,,
  Course,,: 1 portion,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,ayam,gram,100,,  -   
2,bawang putih,gram,3,,
4,bawang merah ,gram,5,,
5,garam,gram,2,,  -   
6,kecap manis,gram,3,,
7,penyedap,gram,2,,
8,kapulaga,gram,1,,
9,kayu manis,gram,2,,
10,minyak goreng,ml,10,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,: bandeng goreng,,,
  Course,,: 1 portion,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,ikan bandeng,gram,80,,  -   
2,telor,gram,40,,  -   
3,garam,gram,5,,  -   
4,kecap manis,gram,2,,  -   
5,penyedap,gram,3,,  -   
6,minyak goreng,ml,20,,  -   
7,,,,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,: Ayam goreng lengkuas,,,
  Course,,: 1 portion,,,
  Quantity Produced,,: ,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,ayam,gram,100,,  -   
2,bawang putih,gram,5,,
4,penyedap,gram,2,,
5,garam,gram,2,,  -   
6,bawang merah,gram,3,,
7,daun salam,gram,1,,
8,lengkuas,gram,10,,
9,minyak goreng,ml,20,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,: Bakso bumbu kacang,,,
  Course,,: 1 portion,,,
  Quantity Produced,,: ,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,bakso,gram,90,,  -   
2,bumbu kacang/ gado2,gram,5,,
3,kecap manis,gram,3,,
4,,,,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,: soto Banjar,,,
  Course,,: 1 portion,,,
  Quantity Produced,,: ,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,ayam filet,gram,50,,  -   
2,bawang putih,gram,5,,
3,penyedap,gram,2,,
4,garam,gram,2,,  -   
5,bawang merah,gram,3,,
6,daun salam,gram,1,,
7,kapulaga,gram,10,,
8,kayu manis,gram,2,,
9,bunga lawang,gram,1,,
10,minyak goreng,ml,20,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,: ikan dori krispi,,,
  Course,,: 1 portion,,,
  Quantity Produced,,: ,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,ikan dori,gram,100,,  -   
2,bawang putih bubuk,gram,2,,
3,merica,gram,0,,
4,garam,gram,1,,  -   
5,daun bawang,gram,3,,
6,tapioka,gram,10,,
7,tepung S biru,gram,10,,
8,minyak goreng,ml,20,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,: ayam nugget,,,
  Course,,: 1 portion,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,nugget ayam,gram,80,,  -   
2,saus tomat,gram,40,,  -   
3,selada,gram,5,,  -   
4,minyak goreng,ml,20,,  -   
