  Receipe Name,,: kacang panjang tumis,,,
  Course,,: 1 portion,,,
  Quantity Produced,,: ,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,kacang panjang,gram,50,,  -   
2,garam,gram,1,,  -   
3,minyak goreng,ml,10,,  -   
4,gula,gram,2,,  -   
5,penyedap,ml,3,,  -   
6,bawang putih,gram,3,,  -   
7,bawang merah,gram,5,,  -   
,,,,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,: jagung & wotel tumis,,,
  Course,,: 1 portion,,,
  Quantity Produced,,: ,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,wortel,gram,40,,  -   
2,jagung,gram,30,,  -   
3,minyak goreng,ml,10,,  -   
4,penyedap,ml,3,,  -   
5,bawang putih,gram,3,,  -   
6,bawang merah,gram,5,,  -   
7,garam,gram,1,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
  Receipe Name,,:bayam labu  sayur bening,,,
  Course,,: 1 portion,,,
  Quantity Produced,,: ,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,bayam,gram,40,,  -   
2,jagung,gram,40,,  -   
3,air,ml,10,,  -   
4,penyedap,ml,3,,  -   
5,bawang putih,gram,3,,  -   
6,bawang merah,gram,5,,  -   
7,daun salam,gram,1,,  -   
8,garam,gram,2,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
  Receipe Name,,":wortel, sawi putih tumis",,,
  Course,,: 1 portion,,,
  Quantity Produced,,: ,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,sawi putih,gram,40,,  -   
2,wortel,gram,30,,  -   
3,penyedap,gram,2,,  -   
4,bawang putih,gram,2,,  -   
5,bawang merah,gram,3,,  -   
6,garam,gram,2,,
7,minyak goreng,gram,5,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
  Receipe Name,,:sayur orak arik,,,
  Course,,: 1 portion,,,
  Quantity Produced,,: ,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,kol putih,gram,30,,  -   
2,wortel,gram,40,,  -   
,buncis,gram,40,,
3,penyedap,gram,2,,  -   
4,bawang putih,gram,3,,  -   
5,telur,gram,40,,  -   
6,garam,gram,1,,
7,minyak goreng,gram,5,,  -   
  Grand Total Cost [ d ] = Sum of Coloum [ c ],,,,,  -   
,,,,,
,,,,,
  Receipe Name,,:sayur mix tumis,,,
  Course,,: 1 portion,,,
  Quantity Produced,,: ,,,
No,Ingredient,Unit,Qty,Unit Cost,Total Cost
,,,[ a ],[ b ],[ c ] = a x b
1,sayur mix,gram,50,,  -   
2,penyedap,gram,30,,  -   
